step,g_phase_deg,LF_fx,LF_fz,LF_hip,LF_knee,LF_swing,LH_fx,LH_fz,LH_hip,LH_knee,LH_swing,RF_fx,RF_fz,RF_hip,RF_knee,RF_swing,RH_fx,RH_fz,RH_hip,RH_knee,RH_swing
166,298.8,1.75,0.0,129.711,97.236,0,-20.125,0.0,146.257,104.57,0,-10.36,26.815,8.419,128.486,1,23.625,0.0,75.203,72.577,0
167,300.6,1.312,0.0,130.141,97.212,0,-20.562,0.0,146.467,104.9,0,-7.816,28.173,10.386,131.634,1,23.187,0.0,74.649,72.961,0
168,302.4,0.875,0.0,130.567,97.195,0,-21.0,0.0,146.672,105.237,0,-5.232,29.177,13.37,133.991,1,22.75,0.0,74.096,73.337,0
169,304.2,0.438,0.0,130.99,97.184,0,-21.438,0.0,146.87,105.582,0,-2.623,29.792,17.31,135.455,1,22.312,0.0,73.546,73.705,0
170,306.0,0.0,0.0,131.41,97.181,0,-21.875,0.0,147.064,105.934,0,0.0,30.0,22.024,135.951,1,21.875,0.0,72.998,74.066,0
171,307.8,-0.438,0.0,131.826,97.184,0,-22.312,0.0,147.252,106.295,0,2.623,29.792,27.235,135.455,1,21.438,0.0,72.452,74.418,0
172,309.6,-0.875,0.0,132.238,97.195,0,-22.75,0.0,147.434,106.663,0,5.232,29.177,32.639,133.991,1,21.0,0.0,71.909,74.763,0
173,311.4,-1.312,0.0,132.647,97.212,0,-23.187,0.0,147.61,107.039,0,7.816,28.173,37.981,131.634,1,20.563,0.0,71.367,75.1,0
174,313.2,-1.75,0.0,133.053,97.236,0,-23.625,0.0,147.781,107.423,0,10.36,26.815,43.095,128.486,1,20.125,0.0,70.827,75.43,0
175,315.0,-2.187,0.0,133.454,97.267,0,-24.062,0.0,147.946,107.815,0,12.852,25.147,47.908,124.665,1,19.688,0.0,70.29,75.752,0
176,316.8,-2.625,0.0,133.853,97.305,0,-24.5,0.0,148.104,108.215,0,15.277,23.22,52.414,120.287,1,19.25,0.0,69.755,76.066,0
177,318.6,-3.063,0.0,134.247,97.35,0,-24.938,0.0,148.258,108.623,0,17.625,21.094,56.64,115.462,1,18.812,0.0,69.222,76.373,0
178,320.4,-3.5,0.0,134.638,97.402,0,-25.375,0.0,148.405,109.039,0,19.88,18.831,60.628,110.294,1,18.375,0.0,68.691,76.673,0
179,322.2,-3.938,0.0,135.024,97.461,0,-25.812,0.0,148.546,109.464,0,22.03,16.493,64.415,104.881,1,17.938,0.0,68.162,76.965,0
180,324.0,-4.375,0.0,135.407,97.526,0,-26.25,0.0,148.681,109.897,0,24.062,14.142,68.029,99.316,1,17.5,0.0,67.635,77.25,0
181,325.8,-4.812,0.0,135.786,97.599,0,-26.688,0.0,148.81,110.339,0,25.963,11.836,71.481,93.693,1,17.063,0.0,67.111,77.527,0
182,327.6,-5.25,0.0,136.161,97.678,0,-27.125,0.0,148.932,110.789,0,27.72,9.628,74.771,88.107,1,16.625,0.0,66.589,77.797,0
183,329.4,-5.687,0.0,136.533,97.765,0,-27.562,0.0,149.049,111.248,0,29.319,7.566,77.883,82.658,1,16.188,0.0,66.068,78.06,0
184,331.2,-6.125,0.0,136.9,97.858,0,-28.0,0.0,149.159,111.716,0,30.747,5.691,80.788,77.458,1,15.75,0.0,65.55,78.316,0
185,333.0,-6.562,0.0,137.263,97.959,0,-28.438,0.0,149.263,112.192,0,31.992,4.037,83.44,72.63,1,15.312,0.0,65.035,78.564,0
186,334.8,-7.0,0.0,137.621,98.066,0,-28.875,0.0,149.36,112.678,0,33.04,2.636,85.782,68.317,1,14.875,0.0,64.521,78.805,0
187,336.6,-7.438,0.0,137.976,98.18,0,-29.312,0.0,149.451,113.173,0,33.878,1.51,87.742,64.676,1,14.437,0.0,64.01,79.039,0
188,338.4,-7.875,0.0,138.327,98.301,0,-29.75,0.0,149.535,113.677,0,34.493,0.683,89.238,61.88,1,14.0,0.0,63.501,79.266,0
189,340.2,-8.312,0.0,138.673,98.43,0,-30.188,0.0,149.613,114.191,0,34.871,0.174,90.187,60.1,1,13.563,0.0,62.994,79.486,0
190,342.0,-8.75,0.0,139.015,98.565,0,-30.625,0.0,149.683,114.714,0,35.0,0.0,90.516,59.482,0,13.125,0.0,62.49,79.698,0
191,343.8,-9.187,0.0,139.352,98.707,0,-31.062,0.0,149.747,115.247,0,34.563,0.0,89.888,60.112,0,12.688,0.0,61.988,79.904,0
192,345.6,-9.625,0.0,139.686,98.856,0,-31.5,0.0,149.804,115.79,0,34.125,0.0,89.264,60.731,0,12.25,0.0,61.488,80.102,0
193,347.4,-10.062,0.0,140.014,99.012,0,-31.937,0.0,149.854,116.343,0,33.688,0.0,88.643,61.338,0,11.813,0.0,60.991,80.293,0
194,349.2,-10.5,0.0,140.339,99.175,0,-32.375,0.0,149.897,116.907,0,33.25,0.0,88.027,61.934,0,11.375,0.0,60.496,80.478,0
195,351.0,-10.938,0.0,140.658,99.345,0,-32.812,0.0,149.933,117.481,0,32.812,0.0,87.414,62.519,0,10.938,0.0,60.004,80.655,0
196,352.8,-11.375,0.0,140.974,99.522,0,-33.25,0.0,149.961,118.066,0,32.375,0.0,86.804,63.093,0,10.5,0.0,59.514,80.825,0
197,354.6,-11.813,0.0,141.284,99.707,0,-33.687,0.0,149.981,118.662,0,31.938,0.0,86.198,63.657,0,10.063,0.0,59.026,80.988,0
198,356.4,-12.25,0.0,141.59,99.898,0,-34.125,0.0,149.995,119.269,0,31.5,0.0,85.595,64.21,0,9.625,0.0,58.542,81.144,0
199,358.2,-12.687,0.0,141.892,100.096,0,-34.562,0.0,150.0,119.888,0,31.062,0.0,84.995,64.753,0,9.188,0.0,58.059,81.293,0
